player,runs,mins,bf,4s,6s,sr,inns,match_type,opposition,ground,start_date
R Dravid,21,42,36,2,0,58.33,2,ODI,Sri Lanka,Colombo (RPS),05 Aug 2001
HK Badani,22,43,38,1,1,57.89,2,ODI,Sri Lanka,Colombo (RPS),05 Aug 2001
Yuvraj Singh,6,10,6,1,0,100.00,2,ODI,Sri Lanka,Colombo (RPS),05 Aug 2001
RS Sodhi,7,17,15,1,0,46.66,2,ODI,Sri Lanka,Colombo (RPS),05 Aug 2001
SS Dighe,23,84,63,0,0,36.50,2,ODI,Sri Lanka,Colombo (RPS),05 Aug 2001
Harbhajan Singh,15,15,28,1,0,53.57,2,ODI,Sri Lanka,Colombo (RPS),05 Aug 2001
Z Khan,16,41,33,1,1,48.48,2,ODI,Sri Lanka,Colombo (RPS),05 Aug 2001
A Nehra,2*,10,10,0,0,20.00,2,ODI,Sri Lanka,Colombo (RPS),05 Aug 2001
SS Das,40,252,170,1,0,23.52,1,Test,Sri Lanka,Galle,14 Aug 2001
S Ramesh,42,182,127,2,0,33.07,1,Test,Sri Lanka,Galle,14 Aug 2001
M Kaif,37,172,144,2,0,25.69,1,Test,Sri Lanka,Galle,14 Aug 2001
R Dravid,12,42,28,1,0,42.85,1,Test,Sri Lanka,Galle,14 Aug 2001
SC Ganguly,15,86,60,0,0,25.00,1,Test,Sri Lanka,Galle,14 Aug 2001
HK Badani,6,10,6,1,0,100.00,1,Test,Sri Lanka,Galle,14 Aug 2001
SS Dighe,9,39,17,0,0,52.94,1,Test,Sri Lanka,Galle,14 Aug 2001
J Srinath,0*,9,3,0,0,0.00,1,Test,Sri Lanka,Galle,14 Aug 2001
Harbhajan Singh,4,4,6,1,0,66.66,1,Test,Sri Lanka,Galle,14 Aug 2001
Z Khan,0*,22,12,0,0,0.00,1,Test,Sri Lanka,Galle,14 Aug 2001
BKV Prasad,0,15,13,0,0,0.00,1,Test,Sri Lanka,Galle,14 Aug 2001
SS Das,23,81,55,2,0,41.81,3,Test,Sri Lanka,Galle,14 Aug 2001
S Ramesh,2,32,22,0,0,9.09,3,Test,Sri Lanka,Galle,14 Aug 2001
M Kaif,14,72,49,1,0,28.57,3,Test,Sri Lanka,Galle,14 Aug 2001
R Dravid,61*,219,172,6,0,35.46,3,Test,Sri Lanka,Galle,14 Aug 2001
SC Ganguly,4,13,11,1,0,36.36,3,Test,Sri Lanka,Galle,14 Aug 2001
HK Badani,5,21,12,0,0,41.66,3,Test,Sri Lanka,Galle,14 Aug 2001
SS Dighe,3,21,15,0,0,20.00,3,Test,Sri Lanka,Galle,14 Aug 2001
Harbhajan Singh,12,28,26,1,0,46.15,3,Test,Sri Lanka,Galle,14 Aug 2001
Z Khan,3,37,29,0,0,10.34,3,Test,Sri Lanka,Galle,14 Aug 2001
BKV Prasad,20,70,67,1,0,29.85,3,Test,Sri Lanka,Galle,14 Aug 2001
J Srinath,absent,-,-,-,-,-,3,Test,Sri Lanka,Galle,14 Aug 2001
SS Das,8,18,17,1,0,47.05,2,Test,Sri Lanka,Kandy,22 Aug 2001
S Ramesh,47,152,95,5,0,49.47,2,Test,Sri Lanka,Kandy,22 Aug 2001
R Dravid,15,33,19,3,0,78.94,2,Test,Sri Lanka,Kandy,22 Aug 2001
SC Ganguly,18,30,18,2,0,100.00,2,Test,Sri Lanka,Kandy,22 Aug 2001
M Kaif,17,58,44,2,0,38.63,2,Test,Sri Lanka,Kandy,22 Aug 2001
HK Badani,16,76,52,1,0,30.76,2,Test,Sri Lanka,Kandy,22 Aug 2001
SS Dighe,28,108,79,5,0,35.44,2,Test,Sri Lanka,Kandy,22 Aug 2001
Harbhajan Singh,44,60,32,9,0,137.50,2,Test,Sri Lanka,Kandy,22 Aug 2001
Z Khan,0,13,19,0,0,0.00,2,Test,Sri Lanka,Kandy,22 Aug 2001
BKV Prasad,1*,25,15,0,0,6.66,2,Test,Sri Lanka,Kandy,22 Aug 2001
Harvinder Singh,6,20,17,1,0,35.29,2,Test,Sri Lanka,Kandy,22 Aug 2001
SS Das,19,85,61,2,0,31.14,4,Test,Sri Lanka,Kandy,22 Aug 2001
S Ramesh,31,157,105,4,0,29.52,4,Test,Sri Lanka,Kandy,22 Aug 2001
R Dravid,75,184,123,12,0,60.97,4,Test,Sri Lanka,Kandy,22 Aug 2001
SC Ganguly,98*,187,152,15,0,64.47,4,Test,Sri Lanka,Kandy,22 Aug 2001
M Kaif,19*,76,43,2,0,44.18,4,Test,Sri Lanka,Kandy,22 Aug 2001
Harbhajan Singh,DNB,-,-,-,-,-,4,Test,Sri Lanka,Kandy,22 Aug 2001
Harvinder Singh,DNB,-,-,-,-,-,4,Test,Sri Lanka,Kandy,22 Aug 2001
Z Khan,DNB,-,-,-,-,-,4,Test,Sri Lanka,Kandy,22 Aug 2001
BKV Prasad,DNB,-,-,-,-,-,4,Test,Sri Lanka,Kandy,22 Aug 2001
SS Dighe,DNB,-,-,-,-,-,4,Test,Sri Lanka,Kandy,22 Aug 2001
HK Badani,DNB,-,-,-,-,-,4,Test,Sri Lanka,Kandy,22 Aug 2001
SS Das,59,134,111,10,0,53.15,1,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
S Ramesh,46,158,115,4,0,40.00,1,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
R Dravid,36,129,85,2,0,42.35,1,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
SC Ganguly,1,10,9,0,0,11.11,1,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
M Kaif,14,57,42,2,0,33.33,1,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
HK Badani,38,73,56,7,0,67.85,1,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
SS Dighe,0,2,2,0,0,0.00,1,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
SV Bahutule,18,69,42,2,0,42.85,1,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
Harbhajan Singh,2,7,4,0,0,50.00,1,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
Z Khan,0,3,2,0,0,0.00,1,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
BKV Prasad,10*,23,22,1,0,45.45,1,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
SS Das,68,165,162,11,0,41.97,3,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
S Ramesh,55,229,164,4,0,33.53,3,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
R Dravid,36,152,124,4,0,29.03,3,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
SC Ganguly,30,148,103,2,1,29.12,3,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
M Kaif,5,31,30,0,0,16.66,3,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
HK Badani,11,75,66,1,0,16.66,3,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
SV Bahutule,0,4,2,0,0,0.00,3,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
SS Dighe,4,48,38,0,0,10.52,3,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
Harbhajan Singh,17,32,20,1,1,85.00,3,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
Z Khan,45,44,40,5,2,112.50,3,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
BKV Prasad,4*,17,9,0,0,44.44,3,Test,Sri Lanka,Colombo (SSC),29 Aug 2001
SC Ganguly,127,150,126,14,5,100.79,1,ODI,South Africa,Johannesburg,05 Oct 2001
SR Tendulkar,101,209,129,9,0,78.29,1,ODI,South Africa,Johannesburg,05 Oct 2001
R Dravid,1,12,7,0,0,14.28,1,ODI,South Africa,Johannesburg,05 Oct 2001
Yuvraj Singh,14,27,18,2,0,77.77,1,ODI,South Africa,Johannesburg,05 Oct 2001
V Sehwag,5,9,5,0,0,100.00,1,ODI,South Africa,Johannesburg,05 Oct 2001
AB Agarkar,12*,17,11,1,0,109.09,1,ODI,South Africa,Johannesburg,05 Oct 2001
SS Das,5*,9,6,0,0,83.33,1,ODI,South Africa,Johannesburg,05 Oct 2001
A Kumble,DNB,-,-,-,-,-,1,ODI,South Africa,Johannesburg,05 Oct 2001
D Dasgupta,DNB,-,-,-,-,-,1,ODI,South Africa,Johannesburg,05 Oct 2001
BKV Prasad,DNB,-,-,-,-,-,1,ODI,South Africa,Johannesburg,05 Oct 2001
J Srinath,DNB,-,-,-,-,-,1,ODI,South Africa,Johannesburg,05 Oct 2001
SC Ganguly,24,34,27,1,2,88.88,1,ODI,South Africa,Centurion,10 Oct 2001
SR Tendulkar,38,82,57,5,0,66.66,1,ODI,South Africa,Centurion,10 Oct 2001
SS Das,2,8,8,0,0,25.00,1,ODI,South Africa,Centurion,10 Oct 2001
R Dravid,54,107,79,5,0,68.35,1,ODI,South Africa,Centurion,10 Oct 2001
Yuvraj Singh,42,79,55,4,1,76.36,1,ODI,South Africa,Centurion,10 Oct 2001
V Sehwag,33,32,27,4,1,122.22,1,ODI,South Africa,Centurion,10 Oct 2001
D Dasgupta,8,20,12,1,0,66.66,1,ODI,South Africa,Centurion,10 Oct 2001
AB Agarkar,1,7,4,0,0,25.00,1,ODI,South Africa,Centurion,10 Oct 2001
Harbhajan Singh,15,20,14,2,0,107.14,1,ODI,South Africa,Centurion,10 Oct 2001
A Kumble,7*,23,10,0,0,70.00,1,ODI,South Africa,Centurion,10 Oct 2001
J Srinath,2,3,4,0,0,50.00,1,ODI,South Africa,Centurion,10 Oct 2001
D Dasgupta,24*,50,32,4,0,75.00,2,ODI,Kenya,Bloemfontein,12 Oct 2001
V Sehwag,55*,50,43,11,0,127.90,2,ODI,Kenya,Bloemfontein,12 Oct 2001
Yuvraj Singh,DNB,-,-,-,-,-,2,ODI,Kenya,Bloemfontein,12 Oct 2001
JJ Martin,DNB,-,-,-,-,-,2,ODI,Kenya,Bloemfontein,12 Oct 2001
Harbhajan Singh,DNB,-,-,-,-,-,2,ODI,Kenya,Bloemfontein,12 Oct 2001
AB Agarkar,DNB,-,-,-,-,-,2,ODI,Kenya,Bloemfontein,12 Oct 2001
R Dravid,DNB,-,-,-,-,-,2,ODI,Kenya,Bloemfontein,12 Oct 2001
SC Ganguly,DNB,-,-,-,-,-,2,ODI,Kenya,Bloemfontein,12 Oct 2001
J Srinath,DNB,-,-,-,-,-,2,ODI,Kenya,Bloemfontein,12 Oct 2001
A Kumble,DNB,-,-,-,-,-,2,ODI,Kenya,Bloemfontein,12 Oct 2001
SR Tendulkar,DNB,-,-,-,-,-,2,ODI,Kenya,Bloemfontein,12 Oct 2001
SC Ganguly,24,57,35,1,2,68.57,2,ODI,Kenya,Port Elizabeth,17 Oct 2001
SR Tendulkar,3,24,20,0,0,15.00,2,ODI,Kenya,Port Elizabeth,17 Oct 2001
JJ Martin,36,107,70,5,0,51.42,2,ODI,Kenya,Port Elizabeth,17 Oct 2001
R Dravid,11,25,23,2,0,47.82,2,ODI,Kenya,Port Elizabeth,17 Oct 2001
Yuvraj Singh,0,1,1,0,0,0.00,2,ODI,Kenya,Port Elizabeth,17 Oct 2001
RS Sodhi,21,38,25,2,1,84.00,2,ODI,Kenya,Port Elizabeth,17 Oct 2001
D Dasgupta,19,41,37,1,0,51.35,2,ODI,Kenya,Port Elizabeth,17 Oct 2001
A Kumble,1,8,11,0,0,9.09,2,ODI,Kenya,Port Elizabeth,17 Oct 2001
Harbhajan Singh,37,50,32,4,1,115.62,2,ODI,Kenya,Port Elizabeth,17 Oct 2001
BKV Prasad,10*,32,25,0,0,40.00,2,ODI,Kenya,Port Elizabeth,17 Oct 2001
Harvinder Singh,1,7,5,0,0,20.00,2,ODI,Kenya,Port Elizabeth,17 Oct 2001
SC Ganguly,85,127,95,6,4,89.47,2,ODI,South Africa,East London,19 Oct 2001
SR Tendulkar,37,68,35,5,0,105.71,2,ODI,South Africa,East London,19 Oct 2001
SS Das,2,5,3,0,0,66.66,2,ODI,South Africa,East London,19 Oct 2001
R Dravid,71*,122,87,7,0,81.60,2,ODI,South Africa,East London,19 Oct 2001
Yuvraj Singh,3,10,8,0,0,37.50,2,ODI,South Africa,East London,19 Oct 2001
V Sehwag,4,8,5,0,0,80.00,2,ODI,South Africa,East London,19 Oct 2001
AB Agarkar,16,17,23,1,0,69.56,2,ODI,South Africa,East London,19 Oct 2001
D Dasgupta,0,5,1,0,0,0.00,2,ODI,South Africa,East London,19 Oct 2001
Harbhajan Singh,7,11,9,1,0,77.77,2,ODI,South Africa,East London,19 Oct 2001
A Kumble,0,1,1,0,0,0.00,2,ODI,South Africa,East London,19 Oct 2001
J Srinath,5,9,5,1,0,100.00,2,ODI,South Africa,East London,19 Oct 2001
SC Ganguly,111,177,124,7,3,89.51,1,ODI,Kenya,Paarl,24 Oct 2001
SR Tendulkar,146,186,132,17,0,110.60,1,ODI,Kenya,Paarl,24 Oct 2001
V Sehwag,55*,35,23,7,3,239.13,1,ODI,Kenya,Paarl,24 Oct 2001
VVS Laxman,15,14,14,1,0,107.14,1,ODI,Kenya,Paarl,24 Oct 2001
Yuvraj Singh,10*,10,8,0,0,125.00,1,ODI,Kenya,Paarl,24 Oct 2001
A Kumble,DNB,-,-,-,-,-,1,ODI,Kenya,Paarl,24 Oct 2001
J Srinath,DNB,-,-,-,-,-,1,ODI,Kenya,Paarl,24 Oct 2001
R Dravid,DNB,-,-,-,-,-,1,ODI,Kenya,Paarl,24 Oct 2001
RS Sodhi,DNB,-,-,-,-,-,1,ODI,Kenya,Paarl,24 Oct 2001
AB Agarkar,DNB,-,-,-,-,-,1,ODI,Kenya,Paarl,24 Oct 2001
Harbhajan Singh,DNB,-,-,-,-,-,1,ODI,Kenya,Paarl,24 Oct 2001
SC Ganguly,9,28,17,1,0,52.94,1,ODI,South Africa,Durban,26 Oct 2001
SR Tendulkar,17,49,42,3,0,40.47,1,ODI,South Africa,Durban,26 Oct 2001
V Sehwag,34,80,58,4,1,58.62,1,ODI,South Africa,Durban,26 Oct 2001
R Dravid,77,143,102,6,0,75.49,1,ODI,South Africa,Durban,26 Oct 2001
VVS Laxman,5,20,10,0,0,50.00,1,ODI,South Africa,Durban,26 Oct 2001
Yuvraj Singh,0,3,2,0,0,0.00,1,ODI,South Africa,Durban,26 Oct 2001
RS Sodhi,22,49,42,1,0,52.38,1,ODI,South Africa,Durban,26 Oct 2001
AB Agarkar,9*,21,13,0,0,69.23,1,ODI,South Africa,Durban,26 Oct 2001
Harbhajan Singh,3,4,5,0,0,60.00,1,ODI,South Africa,Durban,26 Oct 2001
J Srinath,0,1,1,0,0,0.00,1,ODI,South Africa,Durban,26 Oct 2001
A Kumble,0,2,2,0,0,0.00,1,ODI,South Africa,Durban,26 Oct 2001
SS Das,9,55,50,2,0,18.00,1,Test,South Africa,Bloemfontein,03 Nov 2001
R Dravid,2,15,10,0,0,20.00,1,Test,South Africa,Bloemfontein,03 Nov 2001
VVS Laxman,32,50,30,4,1,106.66,1,Test,South Africa,Bloemfontein,03 Nov 2001
SR Tendulkar,155,233,184,23,1,84.23,1,Test,South Africa,Bloemfontein,03 Nov 2001
SC Ganguly,14,22,18,3,0,77.77,1,Test,South Africa,Bloemfontein,03 Nov 2001
V Sehwag,105,272,173,19,0,60.69,1,Test,South Africa,Bloemfontein,03 Nov 2001
D Dasgupta,34,115,71,5,0,47.88,1,Test,South Africa,Bloemfontein,03 Nov 2001
A Kumble,6,21,27,1,0,22.22,1,Test,South Africa,Bloemfontein,03 Nov 2001
J Srinath,1,24,10,0,0,10.00,1,Test,South Africa,Bloemfontein,03 Nov 2001
Z Khan,0,2,4,0,0,0.00,1,Test,South Africa,Bloemfontein,03 Nov 2001
A Nehra,0*,1,1,0,0,0.00,1,Test,South Africa,Bloemfontein,03 Nov 2001
SS Das,62,117,96,13,0,64.58,3,Test,South Africa,Bloemfontein,03 Nov 2001
R Dravid,11,20,17,0,0,64.70,3,Test,South Africa,Bloemfontein,03 Nov 2001
VVS Laxman,29,87,63,5,0,46.03,3,Test,South Africa,Bloemfontein,03 Nov 2001
SR Tendulkar,15,60,35,2,0,42.85,3,Test,South Africa,Bloemfontein,03 Nov 2001
SC Ganguly,30,94,71,5,0,42.25,3,Test,South Africa,Bloemfontein,03 Nov 2001
V Sehwag,31,49,36,6,0,86.11,3,Test,South Africa,Bloemfontein,03 Nov 2001
D Dasgupta,4,42,31,0,0,12.90,3,Test,South Africa,Bloemfontein,03 Nov 2001
A Kumble,4,25,19,1,0,21.05,3,Test,South Africa,Bloemfontein,03 Nov 2001
J Srinath,16,39,25,2,0,64.00,3,Test,South Africa,Bloemfontein,03 Nov 2001
Z Khan,0,2,2,0,0,0.00,3,Test,South Africa,Bloemfontein,03 Nov 2001
A Nehra,17*,31,29,1,1,58.62,3,Test,South Africa,Bloemfontein,03 Nov 2001
SS Das,1,18,11,0,0,9.09,2,Test,South Africa,Port Elizabeth,16 Nov 2001
D Dasgupta,13,77,60,0,0,21.66,2,Test,South Africa,Port Elizabeth,16 Nov 2001
R Dravid,2,16,11,0,0,18.18,2,Test,South Africa,Port Elizabeth,16 Nov 2001
SR Tendulkar,1,10,4,0,0,25.00,2,Test,South Africa,Port Elizabeth,16 Nov 2001
SC Ganguly,42,65,46,7,0,91.30,2,Test,South Africa,Port Elizabeth,16 Nov 2001
VVS Laxman,89,181,121,12,0,73.55,2,Test,South Africa,Port Elizabeth,16 Nov 2001
V Sehwag,13,42,29,3,0,44.82,2,Test,South Africa,Port Elizabeth,16 Nov 2001
AB Agarkar,1,11,6,0,0,16.66,2,Test,South Africa,Port Elizabeth,16 Nov 2001
Harbhajan Singh,0,2,2,0,0,0.00,2,Test,South Africa,Port Elizabeth,16 Nov 2001
A Kumble,28,100,86,4,0,32.55,2,Test,South Africa,Port Elizabeth,16 Nov 2001
J Srinath,0*,5,2,0,0,0.00,2,Test,South Africa,Port Elizabeth,16 Nov 2001
SS Das,0,2,5,0,0,0.00,4,Test,South Africa,Port Elizabeth,16 Nov 2001
D Dasgupta,63,335,281,7,0,22.41,4,Test,South Africa,Port Elizabeth,16 Nov 2001
R Dravid,87,312,241,12,0,36.09,4,Test,South Africa,Port Elizabeth,16 Nov 2001
SR Tendulkar,22*,54,45,4,0,48.88,4,Test,South Africa,Port Elizabeth,16 Nov 2001
SC Ganguly,4*,34,18,0,0,22.22,4,Test,South Africa,Port Elizabeth,16 Nov 2001
A Kumble,DNB,-,-,-,-,-,4,Test,South Africa,Port Elizabeth,16 Nov 2001
J Srinath,DNB,-,-,-,-,-,4,Test,South Africa,Port Elizabeth,16 Nov 2001
VVS Laxman,DNB,-,-,-,-,-,4,Test,South Africa,Port Elizabeth,16 Nov 2001
AB Agarkar,DNB,-,-,-,-,-,4,Test,South Africa,Port Elizabeth,16 Nov 2001
Harbhajan Singh,DNB,-,-,-,-,-,4,Test,South Africa,Port Elizabeth,16 Nov 2001
V Sehwag,DNB,-,-,-,-,-,4,Test,South Africa,Port Elizabeth,16 Nov 2001
SS Das,2,34,22,0,0,9.09,2,Test,England,Mohali,03 Dec 2001
D Dasgupta,100,336,254,15,0,39.37,2,Test,England,Mohali,03 Dec 2001
A Kumble,37,107,86,6,0,43.02,2,Test,England,Mohali,03 Dec 2001
R Dravid,86,301,206,10,0,41.74,2,Test,England,Mohali,03 Dec 2001
SR Tendulkar,88,229,144,13,0,61.11,2,Test,England,Mohali,03 Dec 2001
SC Ganguly,47,127,95,7,0,49.47,2,Test,England,Mohali,03 Dec 2001
VVS Laxman,28,103,67,4,0,41.79,2,Test,England,Mohali,03 Dec 2001
SB Bangar,36,116,110,6,0,32.72,2,Test,England,Mohali,03 Dec 2001
Harbhajan Singh,1,7,4,0,0,25.00,2,Test,England,Mohali,03 Dec 2001
IR Siddiqui,24,28,28,2,1,85.71,2,Test,England,Mohali,03 Dec 2001
T Yohannan,2*,12,2,0,0,100.00,2,Test,England,Mohali,03 Dec 2001
IR Siddiqui,5*,1,2,1,0,250.00,4,Test,England,Mohali,03 Dec 2001
D Dasgupta,0*,1,0,0,0,-,4,Test,England,Mohali,03 Dec 2001
SR Tendulkar,DNB,-,-,-,-,-,4,Test,England,Mohali,03 Dec 2001
A Kumble,DNB,-,-,-,-,-,4,Test,England,Mohali,03 Dec 2001
SC Ganguly,DNB,-,-,-,-,-,4,Test,England,Mohali,03 Dec 2001
R Dravid,DNB,-,-,-,-,-,4,Test,England,Mohali,03 Dec 2001
VVS Laxman,DNB,-,-,-,-,-,4,Test,England,Mohali,03 Dec 2001
Harbhajan Singh,DNB,-,-,-,-,-,4,Test,England,Mohali,03 Dec 2001
SS Das,DNB,-,-,-,-,-,4,Test,England,Mohali,03 Dec 2001
SB Bangar,DNB,-,-,-,-,-,4,Test,England,Mohali,03 Dec 2001
T Yohannan,DNB,-,-,-,-,-,4,Test,England,Mohali,03 Dec 2001
SS Das,41,110,95,5,0,43.15,2,Test,England,Ahmedabad,11 Dec 2001
D Dasgupta,17,90,67,2,0,25.37,2,Test,England,Ahmedabad,11 Dec 2001
R Dravid,7,93,60,0,0,11.66,2,Test,England,Ahmedabad,11 Dec 2001
SR Tendulkar,103,254,197,12,1,52.28,2,Test,England,Ahmedabad,11 Dec 2001
SC Ganguly,5,22,13,0,0,38.46,2,Test,England,Ahmedabad,11 Dec 2001
VVS Laxman,75,297,192,9,0,39.06,2,Test,England,Ahmedabad,11 Dec 2001
V Sehwag,20,44,34,2,1,58.82,2,Test,England,Ahmedabad,11 Dec 2001
A Kumble,5,38,32,0,0,15.62,2,Test,England,Ahmedabad,11 Dec 2001
Harbhajan Singh,0,8,7,0,0,0.00,2,Test,England,Ahmedabad,11 Dec 2001
J Srinath,0,8,10,0,0,0.00,2,Test,England,Ahmedabad,11 Dec 2001
T Yohannan,3*,34,19,0,0,15.78,2,Test,England,Ahmedabad,11 Dec 2001
SS Das,58,191,159,7,0,36.47,4,Test,England,Ahmedabad,11 Dec 2001
D Dasgupta,60,225,190,5,0,31.57,4,Test,England,Ahmedabad,11 Dec 2001
R Dravid,26*,155,108,2,0,24.07,4,Test,England,Ahmedabad,11 Dec 2001
SR Tendulkar,26,87,81,4,0,32.09,4,Test,England,Ahmedabad,11 Dec 2001
SC Ganguly,16*,45,43,3,0,37.20,4,Test,England,Ahmedabad,11 Dec 2001
A Kumble,DNB,-,-,-,-,-,4,Test,England,Ahmedabad,11 Dec 2001
J Srinath,DNB,-,-,-,-,-,4,Test,England,Ahmedabad,11 Dec 2001
VVS Laxman,DNB,-,-,-,-,-,4,Test,England,Ahmedabad,11 Dec 2001
Harbhajan Singh,DNB,-,-,-,-,-,4,Test,England,Ahmedabad,11 Dec 2001
V Sehwag,DNB,-,-,-,-,-,4,Test,England,Ahmedabad,11 Dec 2001
T Yohannan,DNB,-,-,-,-,-,4,Test,England,Ahmedabad,11 Dec 2001
SS Das,28,151,105,4,0,26.66,2,Test,England,Bengaluru,19 Dec 2001
D Dasgupta,0,14,7,0,0,0.00,2,Test,England,Bengaluru,19 Dec 2001
VVS Laxman,12,27,18,2,0,66.66,2,Test,England,Bengaluru,19 Dec 2001
SR Tendulkar,90,263,198,13,0,45.45,2,Test,England,Bengaluru,19 Dec 2001
R Dravid,3,73,61,0,0,4.91,2,Test,England,Bengaluru,19 Dec 2001
SC Ganguly,0,7,3,0,0,0.00,2,Test,England,Bengaluru,19 Dec 2001
V Sehwag,66,123,88,13,0,75.00,2,Test,England,Bengaluru,19 Dec 2001
A Kumble,14,77,42,2,0,33.33,2,Test,England,Bengaluru,19 Dec 2001
Harbhajan Singh,8,36,27,0,0,29.62,2,Test,England,Bengaluru,19 Dec 2001
Sarandeep Singh,4,21,16,0,0,25.00,2,Test,England,Bengaluru,19 Dec 2001
J Srinath,2*,8,5,0,0,40.00,2,Test,England,Bengaluru,19 Dec 2001
SC Ganguly,42,86,58,4,1,72.41,1,ODI,England,Kolkata,19 Jan 2002
SR Tendulkar,36,71,43,6,0,83.72,1,ODI,England,Kolkata,19 Jan 2002
D Mongia,71,120,75,7,1,94.66,1,ODI,England,Kolkata,19 Jan 2002
VVS Laxman,25,36,31,2,0,80.64,1,ODI,England,Kolkata,19 Jan 2002
V Sehwag,29,42,37,5,0,78.37,1,ODI,England,Kolkata,19 Jan 2002
HK Badani,35,58,33,3,0,106.06,1,ODI,England,Kolkata,19 Jan 2002
AB Agarkar,2,3,2,0,0,100.00,1,ODI,England,Kolkata,19 Jan 2002
A Ratra,2,2,2,0,0,100.00,1,ODI,England,Kolkata,19 Jan 2002
Harbhajan Singh,18*,26,21,2,0,85.71,1,ODI,England,Kolkata,19 Jan 2002
A Kumble,0*,1,1,0,0,0.00,1,ODI,England,Kolkata,19 Jan 2002
J Srinath,DNB,-,-,-,-,-,1,ODI,England,Kolkata,19 Jan 2002
SC Ganguly,14,17,15,3,0,93.33,2,ODI,England,Cuttack,22 Jan 2002
SR Tendulkar,45,101,60,6,0,75.00,2,ODI,England,Cuttack,22 Jan 2002
D Mongia,49,127,82,4,0,59.75,2,ODI,England,Cuttack,22 Jan 2002
VVS Laxman,3,10,6,0,0,50.00,2,ODI,England,Cuttack,22 Jan 2002
V Sehwag,5,11,10,0,0,50.00,2,ODI,England,Cuttack,22 Jan 2002
HK Badani,13,30,17,2,0,76.47,2,ODI,England,Cuttack,22 Jan 2002
A Ratra,30,36,40,3,0,75.00,2,ODI,England,Cuttack,22 Jan 2002
AB Agarkar,29,65,26,3,0,111.53,2,ODI,England,Cuttack,22 Jan 2002
Harbhajan Singh,6,3,6,1,0,100.00,2,ODI,England,Cuttack,22 Jan 2002
A Kumble,20,28,26,1,0,76.92,2,ODI,England,Cuttack,22 Jan 2002
J Srinath,7*,7,8,0,0,87.50,2,ODI,England,Cuttack,22 Jan 2002
SR Tendulkar,68,110,79,10,0,86.07,2,ODI,England,Chennai,25 Jan 2002
V Sehwag,51,81,58,8,0,87.93,2,ODI,England,Chennai,25 Jan 2002
VVS Laxman,26,67,53,2,0,49.05,2,ODI,England,Chennai,25 Jan 2002
D Mongia,21,41,26,2,1,80.76,2,ODI,England,Chennai,25 Jan 2002
HK Badani,12,42,20,1,0,60.00,2,ODI,England,Chennai,25 Jan 2002
SB Bangar,1,5,5,0,0,20.00,2,ODI,England,Chennai,25 Jan 2002
A Ratra,29*,46,32,4,0,90.62,2,ODI,England,Chennai,25 Jan 2002
AB Agarkar,6*,12,8,0,0,75.00,2,ODI,England,Chennai,25 Jan 2002
A Kumble,DNB,-,-,-,-,-,2,ODI,England,Chennai,25 Jan 2002
J Srinath,DNB,-,-,-,-,-,2,ODI,England,Chennai,25 Jan 2002
Harbhajan Singh,DNB,-,-,-,-,-,2,ODI,England,Chennai,25 Jan 2002
SR Tendulkar,87*,120,67,13,1,129.85,2,ODI,England,Kanpur,28 Jan 2002
V Sehwag,82,70,62,14,0,132.25,2,ODI,England,Kanpur,28 Jan 2002
SC Ganguly,26,26,32,5,0,81.25,2,ODI,England,Kanpur,28 Jan 2002
D Mongia,17*,19,17,3,0,100.00,2,ODI,England,Kanpur,28 Jan 2002
A Kumble,DNB,-,-,-,-,-,2,ODI,England,Kanpur,28 Jan 2002
J Srinath,DNB,-,-,-,-,-,2,ODI,England,Kanpur,28 Jan 2002
AB Agarkar,DNB,-,-,-,-,-,2,ODI,England,Kanpur,28 Jan 2002
Harbhajan Singh,DNB,-,-,-,-,-,2,ODI,England,Kanpur,28 Jan 2002
HK Badani,DNB,-,-,-,-,-,2,ODI,England,Kanpur,28 Jan 2002
M Kaif,DNB,-,-,-,-,-,2,ODI,England,Kanpur,28 Jan 2002
A Ratra,DNB,-,-,-,-,-,2,ODI,England,Kanpur,28 Jan 2002
V Sehwag,42,49,36,7,0,116.66,2,ODI,England,Delhi,31 Jan 2002
SR Tendulkar,18,20,16,3,0,112.50,2,ODI,England,Delhi,31 Jan 2002
